Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Alaa Abdelnaby,PF,23,POR,71,1,934,178,361,0.493,0,0,,178,361,0.493,0.493,76,101,0.752,81,179,260,30,25,16,66,132,432
2,Mahmoud Abdul-Rauf,PG,22,DEN,81,11,1538,356,845,0.421,31,94,0.33,325,751,0.433,0.44,94,108,0.87,22,92,114,192,44,4,117,130,837
3,Mark Acres,C,29,ORL,68,6,926,78,151,0.517,1,3,0.333,77,148,0.52,0.52,51,67,0.761,97,155,252,22,25,15,33,140,208
4,Michael Adams,PG,29,WSB,78,78,2795,485,1233,0.393,125,386,0.324,360,847,0.425,0.444,313,360,0.869,58,252,310,594,145,9,212,162,1408
5,Rafael Addison,SF,27,NJN,76,8,1175,187,432,0.433,14,49,0.286,173,383,0.452,0.449,56,76,0.737,65,100,165,68,28,28,46,109,444
6,Mark Aguirre,SF,32,DET,75,12,1582,339,787,0.431,15,71,0.211,324,716,0.453,0.44,158,230,0.687,67,169,236,126,51,11,105,171,851
7,Danny Ainge,SG,32,POR,81,6,1595,299,676,0.442,78,230,0.339,221,446,0.496,0.5,108,131,0.824,40,108,148,202,73,13,70,148,784
8,Victor Alexander,C,22,GSW,80,28,1350,243,459,0.529,0,1,0,243,458,0.531,0.529,103,149,0.691,106,230,336,32,45,62,91,176,589
9,Greg Anderson,PF,27,DEN,82,82,2793,389,854,0.456,0,4,0,389,850,0.458,0.456,167,268,0.623,337,604,941,78,88,65,201,263,945
10,Kenny Anderson,PG,21,NJN,64,13,1086,187,480,0.39,3,13,0.231,184,467,0.394,0.393,73,98,0.745,38,89,127,203,67,9,97,68,450
11,Nick Anderson,SG,24,ORL,60,59,2203,482,1042,0.463,30,85,0.353,452,957,0.472,0.477,202,303,0.667,98,286,384,163,97,33,126,132,1196
12,Ron Anderson,SF,33,PHI,82,11,2432,469,1008,0.465,42,127,0.331,427,881,0.485,0.486,143,163,0.877,96,182,278,135,86,11,109,128,1123
13,Willie Anderson,SG,25,SAS,57,55,1889,312,685,0.455,13,56,0.232,299,629,0.475,0.465,107,138,0.775,62,238,300,302,54,51,140,151,744
14,Michael Ansley,SF,24,TOT,10,0,45,8,18,0.444,0,0,,8,18,0.444,0.444,5,6,0.833,2,4,6,2,0,0,3,7,21
14,Michael Ansley,SF,24,PHI,8,0,32,5,11,0.455,0,0,,5,11,0.455,0.455,5,6,0.833,2,2,4,2,0,0,3,6,15
14,Michael Ansley,SF,24,CHH,2,0,13,3,7,0.429,0,0,,3,7,0.429,0.429,0,0,,0,2,2,0,0,0,0,1,6
15,Greg Anthony,PG,24,NYK,82,1,1510,161,435,0.37,8,55,0.145,153,380,0.403,0.379,117,158,0.741,33,103,136,314,59,9,98,170,447
16,B.J. Armstrong,PG,24,CHI,82,3,1875,335,697,0.481,35,87,0.402,300,610,0.492,0.506,104,129,0.806,19,126,145,266,46,5,94,88,809
17,Vincent Askew,SG,25,GSW,80,10,1496,193,379,0.509,1,10,0.1,192,369,0.52,0.511,111,160,0.694,89,144,233,188,47,23,84,128,498
18,Keith Askins,SF,24,MIA,59,4,843,84,205,0.41,25,73,0.342,59,132,0.447,0.471,26,37,0.703,65,77,142,38,40,15,47,109,219
19,Stacey Augmon,SG,23,ATL,82,82,2505,440,899,0.489,1,6,0.167,439,893,0.492,0.49,213,320,0.666,191,229,420,201,124,27,181,161,1094
20,Isaac Austin,C,22,UTA,31,0,112,21,46,0.457,0,0,,21,46,0.457,0.457,19,30,0.633,11,24,35,5,2,2,8,20,61
21,Milos Babic,C,23,MIA,9,0,35,6,13,0.462,0,0,,6,13,0.462,0.462,6,8,0.75,2,9,11,6,1,0,5,0,18
22,John Bagley,PG,31,BOS,73,59,1742,223,506,0.441,10,42,0.238,213,464,0.459,0.451,68,95,0.716,38,123,161,480,57,4,148,123,524
23,Thurl Bailey,PF,30,TOT,84,18,2104,368,836,0.44,0,2,0,368,834,0.441,0.44,215,270,0.796,122,363,485,78,35,117,108,160,951
23,Thurl Bailey,PF,30,UTA,13,0,327,39,101,0.386,0,1,0,39,100,0.39,0.386,44,55,0.8,23,55,78,19,5,15,21,31,122
23,Thurl Bailey,PF,30,MIN,71,18,1777,329,735,0.448,0,1,0,329,734,0.448,0.448,171,215,0.795,99,308,407,59,30,102,87,129,829
24,Steve Bardo,SG,23,SAS,1,0,1,0,0,,0,0,,0,0,,,0,0,,1,0,1,0,0,0,0,0,0
25,Charles Barkley*,PF,28,PHI,75,75,2881,622,1126,0.552,32,137,0.234,590,989,0.597,0.567,454,653,0.695,271,559,830,308,136,44,235,196,1730
26,Dana Barros,PG,24,SEA,75,1,1331,238,493,0.483,83,186,0.446,155,307,0.505,0.567,60,79,0.759,17,64,81,125,51,4,56,84,619
27,John Battle,SG,29,CLE,76,2,1637,316,659,0.48,2,17,0.118,314,642,0.489,0.481,145,171,0.848,19,93,112,159,36,5,91,116,779
28,Kenny Battle,SG,27,TOT,16,0,92,11,17,0.647,0,1,0,11,16,0.688,0.647,10,12,0.833,4,12,16,4,2,2,4,10,32
28,Kenny Battle,SG,27,BOS,8,0,46,3,4,0.75,0,0,,3,4,0.75,0.75,8,8,1,3,6,9,0,1,0,2,4,14
28,Kenny Battle,SG,27,GSW,8,0,46,8,13,0.615,0,1,0,8,12,0.667,0.615,2,4,0.5,1,6,7,4,1,2,2,6,18
29,William Bedford,C,28,DET,32,8,363,50,121,0.413,0,1,0,50,120,0.417,0.413,14,22,0.636,24,39,63,12,6,18,15,56,114
